iter	Logloss
0	0.6088624972
1	0.5475991177
2	0.4935498372
3	0.4431109684
4	0.4085593287
5	0.3754880916
6	0.3498357197
7	0.3311477347
8	0.3143268054
9	0.2978728025
10	0.2866597625
11	0.2741416778
12	0.2654386928
13	0.2558404187
14	0.2484801384
15	0.2388944918
16	0.2338963304
17	0.2304146273
18	0.2266094011
19	0.2230930274
20	0.2196710059
21	0.216128326
22	0.2128966942
23	0.2095762646
24	0.2063284641
25	0.2048242908
26	0.2036757599
27	0.201116893
28	0.2001736344
29	0.1986597446
30	0.1976269404
31	0.1969754193
32	0.1954436001
33	0.1938301263
34	0.1932999556
35	0.1925276252
36	0.1914003037
37	0.190540923
38	0.1895812415
39	0.188909368
40	0.1882799532
41	0.1876269785
42	0.1873094581
43	0.1864004358
44	0.1859451542
45	0.1854052231
46	0.1849591419
47	0.1845865061
48	0.1839106616
49	0.1836013267
50	0.1832228325
51	0.1828202246
52	0.1824872177
53	0.1822043217
54	0.1817230479
55	0.1814633345
56	0.1811393667
57	0.1809072036
58	0.1803882962
59	0.1802045386
60	0.179910575
61	0.179647377
62	0.1791915989
63	0.1789652938
64	0.1787666994
65	0.1784283023
66	0.1782785953
67	0.1778850878
68	0.1775536849
69	0.1773713091
70	0.1771171795
71	0.1769078274
72	0.176654951
73	0.1765354266
74	0.1763362182
75	0.1762428261
76	0.1758580199
77	0.1756414764
78	0.1754806365
79	0.1753068031
80	0.1751039177
81	0.1749410985
82	0.174787132
83	0.1746241203
84	0.1744209061
85	0.1742571728
86	0.1741572457
87	0.1740160338
88	0.1738577922
89	0.1737386929
90	0.1735697615
91	0.1733397464
92	0.17320762
93	0.1730880044
94	0.1729271777
95	0.1727650133
96	0.1726458483
97	0.1725325927
98	0.1724468939
99	0.1723080663
100	0.1722125353
101	0.1721068461
102	0.1719991959
103	0.1718154844
104	0.1716957271
105	0.171598651
106	0.1714510642
107	0.1713132501
108	0.1712409046
109	0.1711098393
110	0.1709735363
111	0.1707127034
112	0.1706060465
113	0.1704653301
114	0.1703156703
115	0.1702067571
116	0.1701108522
117	0.169992318
118	0.1699385817
119	0.1697993474
120	0.1696766637
121	0.1696212812
122	0.1695286155
123	0.1694396686
124	0.1693627897
125	0.1692582595
126	0.1690719185
127	0.1689167116
128	0.1688257074
129	0.1687326309
130	0.1686663269
131	0.1685349445
132	0.1684337538
133	0.1682369401
134	0.1681319958
135	0.1680585935
136	0.167886989
137	0.1677386736
138	0.1676056607
139	0.1675395543
140	0.1674706021
141	0.1673874524
142	0.1672741377
143	0.1670910221
144	0.1669941599
145	0.1669005554
146	0.1667629068
147	0.1666833384
148	0.1665914314
149	0.1665198052
150	0.1663982107
151	0.1662400658
152	0.1661908377
153	0.1661175955
154	0.1660418394
155	0.165969925
156	0.1658796435
157	0.1658184269
158	0.1657494323
159	0.1656744967
160	0.1655804261
161	0.1654964349
162	0.1653997614
163	0.1653066048
164	0.1652163186
165	0.1651679536
166	0.1650573419
167	0.1649933076
168	0.1649247024
169	0.1648675769
170	0.1647906156
171	0.1647779978
172	0.1646668624
173	0.1645879985
174	0.1644430591
175	0.164408863
176	0.164291848
177	0.164197019
178	0.1641628835
179	0.1640561405
180	0.1639441639
181	0.1638744281
182	0.1637764352
183	0.1636255422
184	0.1635708342
185	0.1635147669
186	0.1634553693
187	0.1633929365
188	0.1632942283
189	0.1632111317
190	0.1631496471
191	0.1630120573
192	0.1629158168
193	0.1628861879
194	0.1627883005
195	0.1626628056
196	0.1625696584
197	0.1624708623
198	0.1623532163
199	0.1622628107
